speed,lambda,commanded_period_ms,measured_period_ms,period_std_ms,peak_force_e,peak_force_f,corr_ef,spec_conc
06cms,lam1em5,1200,1200.00,0.00,17.459,17.459,-0.808,0.8625
06cms,lam1em4,1200,1200.00,0.00,17.459,17.459,-0.988,0.8696
06cms,lam1em3,1200,1200.00,0.00,17.459,17.459,-0.993,0.8691
13_5cms,lam1em5,520,521.94,51.28,16.710,17.443,-0.601,0.8637
13_5cms,lam1em4,520,519.60,0.00,16.720,16.715,-0.984,0.8928
13_5cms,lam1em3,520,519.60,0.00,16.723,16.714,-0.984,0.8955
21cms,lam1em5,350,321.20,74.25,14.330,17.470,-0.341,0.8601
21cms,lam1em4,350,350.40,0.00,15.482,15.420,-0.961,0.9451
21cms,lam1em3,350,350.40,0.00,15.466,15.412,-0.965,0.9522
